dog_id,visit_date,tests,medications,antibiotics,antiprurtics,topicals,otics,nutritionals
8300,2019-01-04 14:10:53+00:00,0,1,1,0,0,0,0
8300,2021-06-26 09:26:57+00:00,0,1,0,1,0,0,0
11725,2019-01-06 10:34:36+00:00,0,0,0,0,0,0,0
11725,2020-01-30 16:05:10+00:00,0,0,0,0,0,0,0
18068,2019-01-06 09:04:46+00:00,0,1,1,0,0,0,0
18068,2020-09-17 07:59:50+00:00,0,0,0,0,0,0,0
18068,2021-08-12 11:50:43+00:00,0,1,0,0,1,0,0
18068,2019-08-24 08:59:09+00:00,0,0,0,0,0,0,0
18068,2020-02-22 07:41:02+00:00,0,0,0,0,0,0,0
18068,2019-02-01 09:02:25+00:00,0,0,0,0,0,0,0
18068,2020-08-25 07:58:08+00:00,0,2,1,0,1,0,0
18068,2020-04-23 07:58:25+00:00,0,0,0,0,0,0,0
18068,2019-05-29 07:57:43+00:00,0,1,1,0,0,0,0
18068,2021-02-11 10:04:43+00:00,0,0,0,0,0,0,0
13482,2019-01-07 10:16:34+00:00,0,0,0,0,0,0,0
13482,2020-04-29 08:17:05+00:00,0,1,0,0,0,1,0
13482,2020-11-23 08:17:45+00:00,0,0,0,0,0,0,0
13482,2020-05-20 10:58:17+00:00,0,1,0,0,1,0,0
13482,2021-08-23 08:30:19+00:00,0,5,1,0,1,2,1
13482,2019-06-24 15:55:20+00:00,0,1,0,0,1,0,0
13482,2019-11-21 08:07:35+00:00,0,1,1,0,0,0,0
13482,2021-06-09 10:15:38+00:00,0,2,1,0,1,0,0
13482,2020-10-27 09:03:31+00:00,0,5,2,0,2,2,0
13482,2019-08-13 09:41:31+00:00,0,0,0,0,0,0,0
13661,2019-01-08 09:48:39+00:00,0,1,0,0,1,0,0
5280,2019-01-09 11:03:36+00:00,2,1,0,0,1,0,0
5280,2019-01-22 09:06:00+00:00,0,0,0,0,0,0,0
22083,2019-01-09 08:21:54+00:00,0,0,0,0,0,0,0
22929,2019-01-09 18:05:58+00:00,0,2,0,1,0,1,0
22929,2019-08-21 08:34:29+00:00,0,2,0,2,0,0,0
22929,2019-04-11 08:01:41+00:00,0,2,0,2,0,0,0
22929,2020-02-10 08:57:36+00:00,0,3,0,2,0,1,0
22929,2019-01-23 18:00:53+00:00,0,1,0,0,0,0,1
22929,2019-02-20 08:09:44+00:00,0,2,0,2,0,0,0
6656,2019-01-10 07:18:31+00:00,0,1,0,0,1,0,0
6656,2021-05-30 10:57:59+00:00,0,1,1,0,0,0,0
6656,2021-03-01 08:43:13+00:00,0,2,1,0,1,0,0
942,2019-01-12 09:28:59+00:00,0,1,0,1,0,0,0
942,2019-07-02 15:26:14+00:00,0,3,2,0,0,3,0
942,2020-01-06 11:29:17+00:00,0,0,0,0,0,0,0
11623,2019-01-13 15:58:42+00:00,0,2,0,1,1,0,0
11623,2019-01-06 13:53:48+00:00,0,0,0,0,0,0,0
18426,2019-01-13 08:57:35+00:00,0,0,0,0,0,0,0
18426,2019-04-14 08:56:46+00:00,0,0,0,0,0,0,0
18426,2019-07-22 17:56:43+00:00,0,1,1,0,0,0,0
18426,2019-06-27 17:28:01+00:00,0,0,0,0,0,0,0
15503,2019-01-15 08:40:58+00:00,0,2,1,0,0,1,0
1435,2019-01-16 06:50:09+00:00,0,4,2,1,1,0,0
1435,2019-01-24 07:02:57+00:00,0,0,0,0,0,0,0
1435,2019-12-05 07:53:06+00:00,0,0,0,0,0,0,0
1435,2019-01-31 14:56:58+00:00,0,0,0,0,0,0,0
12097,2019-01-19 09:05:18+00:00,0,2,0,0,1,1,0
12097,2020-07-06 11:27:08+00:00,0,0,0,0,0,0,0
12097,2019-12-23 08:39:56+00:00,0,0,0,0,0,0,0
12097,2021-07-09 16:18:48+00:00,0,1,0,0,1,0,0
23562,2019-01-23 09:30:10+00:00,0,1,0,0,1,0,0
23562,2020-11-17 09:14:37+00:00,0,2,0,2,0,0,0
23562,2021-04-01 13:47:30+00:00,0,1,0,1,0,0,0
23562,2020-01-08 08:47:18+00:00,0,1,0,1,0,0,0
23562,2019-07-12 09:17:00+00:00,0,1,0,1,0,0,0
4530,2019-01-25 14:55:50+00:00,0,2,0,1,1,0,0
4530,2021-03-24 09:16:25+00:00,0,0,0,0,0,0,0
4530,2019-04-25 14:21:11+00:00,0,2,0,2,0,0,0
4530,2021-09-25 08:53:07+00:00,0,0,0,0,0,0,0
4530,2020-04-14 14:27:24+00:00,0,1,0,0,0,1,0
4530,2020-01-24 15:28:57+00:00,0,0,0,0,0,0,0
12876,2019-01-25 07:06:10+00:00,0,1,0,1,0,0,0
12876,2021-09-04 08:04:22+00:00,0,0,0,0,0,0,0
4265,2019-01-25 08:02:43+00:00,0,4,1,2,1,0,0
4265,2020-04-20 08:46:32+00:00,0,6,1,2,2,1,0
4265,2019-05-24 08:03:03+00:00,0,4,1,3,0,0,0
